Cluster	Words
6795	protein pdz cell n associated fyve 6 ras ph phosphoprotein rhogef and 1 scap1 cortex meiotic skap55 pleckstrin homology terminal c adrenergic guanine coupled mcp5 3 2 nucleotide domains domain kinase factor rho containing g receptor exchange beta 11 src
6793	protein mrna branch splicing polyadenylation limkain recognition cytoplasmic stranded with rbd binding pre orthologue gi and rnp tar a element gb interacting afua 19 rrm putative protmap 342320514 probable rbms2 dna export multiple 3 or by 2 motif p14 tdp egu12454 rna domain b1 single 5 factor rbm19 2g05960 site afu 43 k 1
27376	protein enod93 inflammatory profilin binding phosphoprotein early castellanii putative alpha muscle skeletal acanthamoeba ii nodulin 93 stimulated vasodilator actin 1
46137	serine protein threonine hydroxyurea 6 kin pox catalytic lobe twitchin non e dependent aph ser 1 mitogen interacting kind resistance poxvirus c hur ephb2 3 camk inducible 2 thr aminoglycoside antibiotic activated like phosphoinositide tyrosine kinase domain bmp pdk1 receptor family 11 7
6799	protein long responsive cell resident chain n talin ferm rad60 6 of member oxo steroid modifier e enoyl ubl1 12 homocysteine derived tug reticulum polyubiquitin head otub2 parkin 19 ligase dendritic coa related very terminal ubiquitin c alpha activating 3 cofactor f0 or 2 dehydrogenase e3 trans herpud1 like reductase sumo domain 5 thioesterase endoplasmic 4 small sld tubulin folding 1 b
31438	-
25288	eukaryotic glycoprotein protein binding translation initiation subunit like spike factor succinate dehydrogenase hsbp1 heat shock 3 f 1
25287	protein kif4a chain cell adenosine associated microtub kinesin replication non chromosomal ph binding bd heavy cortex meiotic chromosome pleckstrin homology terminal c ncd alpha mcp5 motor initiation like kif19 domain microtubule 5 claret factor dnaa disjunctional tubulin diphosphate
25284	-
25282	protein spp specific brucei t
25283	protein suaprga1 subcomponent of glycoprotein binding glyco matrix mitochondrial p32 human structure mam33 component p22 q acidic regulatory complement crystal 1
25280	protein cg acetyltransf acetyltransferase n transferase ynca gnat of catalytic tr e acyltransferase acetyl phd growth ing2 uncharacterized ribosomal gcn5 finger putative duf3749 alanine coa related terminal c region orf14 3 gly 2 histone at5g26210 domain sso0209 acyl aralkyl acid amino family 1 inhibitor
25281	protein splicing u2af polyadenylation limkain hu recognition cytoplasmic elav stranded with kda rbd subunit binding 65 and rnp a element superfamily interacting 19 rrm putative probable rbms2 region export multiple 3 or 2 motif rna domain b1 single 5 factor rbm19 containing k 1
16253	protein mrna splicing n geranylgeranyltransferase lrr von high repeat of member subunit glycoprotein binding phosphoprotein pre rich a leucine growth nerve willebrand 9 putative 32 terminal c spp42 alpha ib domain nuclear rab factor acidic receptor lic11098 family affinity
16252	protein splicing polyadenylation recognition cytoplasmic nmi elav stranded with rbd binding ifp and rnp tar a element interacting 35 19 rrm putative probable rbms2 dna export multiple 3 or 2 motif like tdp rna domain single 5 factor rbm19 nid 43 k 1
32010	project wgs data annotated 1489 caeq00000000 contig
16709	protein wgs xvi n caeq00000000 pp papain lecithin peptidase fold e phospholipase viral acyltransferase polyprotein data permuted retinol annotated 803 retinoic calici c97 contig putative lrat terminal pppde c pppde1 a2 3 project group domain acid responder 4 molecule containing receptor 1
32019	protein cpp1 homolog n type hsc20 1700030a21rik member of molecular antigen djc7 the hscb 1 finger pam16 subfamily terminal c chaperone 3 t j 2 yeast like domain sec63 containing zinc por1 large dnaj translocation csl
19978	mitochondrial like protein cell domain rhogef containing activation t inhibitor
16703	nuclease protein homolog n fen endonuclease specific of pox 13 e fold the xpg sam family flap poxvirus structure terminal c dna exoribonuclease 3 2 s domain 5 exonuclease xrn exonuc terminus crystal g5 1
16702	-
22484	-
22487	protein rada chain repair type rad51 gvpd bacterial kaic 6 e subunit 14 and phosphatase terminal c dna polynucleotide gas alpha recombination 3 synthase atp atpase ump vesicle domain kinase xrcc3 adenylate 5 v reca cmp beta
22482	putative protein sialidase l1tc dna zinc complex consensus trans finger
12014	protein mrna long splicing transferase prorp type import specific repeat pentacotripeptide of kda 116 at1g63070 subunit ppr tom20 at1g03510 pre geranylgeranyl pentatricopeptide 8 putative mitochondrial processing region promoting tpr plant alpha tetratricopeptide 2 pkng kinase factor containing anaphase g complex receptor 1
12016	recognition 6 gtpase of bisphosphatase 6pf2k particle arok e coae the dephospho trna lig putative ligase coa shikimate phosphothiophosphoric c ftsy phosphofructo 3 signal 2 fructose domain kinase acid adenylate ester 4 receptor polyphosphate 7
22489	putative guanylate monomeric protein domain cyclase type adenylate and containing adenylyl receptor catalytic
49067	-
26391	protein oxidoreductase n isopenicillin feii 21 aminocyclopropane anthocyanidin e oxy 14 oxidase superfamily oxygenase putative fe c 17 3 synthase deacetoxycephalosporin ii carboxylate 4 2og 1
24810	prostaglandin oxidored oxidoreductase homolog n tetranirate 6 linked trimethylamine e nadph f2a fmn nadh 12 dependent oye morphinone oxophytodienoate oxidase terminal c region dh synthase pentaerythritol reductase opr dehydrogenase conserved 99 domain glu flavin family glutamate in 1
3486	serine protein mrna frtz splicing chain cell threonine repeat of ge1 with kda 116 palb2 enhancer h wd40 pre pore effector wd and 8 methylamine planar decapping interacting d1 assembly partner processing terminal c localizer region export heme dehydrogenase fritz dynein domain kinase nuclear factor brca2 containing actin 40 subgroup polarity 1 wdr
26398	subunit transcription repair helicase tfiih 5 ssl2 factor dna general iih rad25 complex polypeptide tfb5 basal
28563	putative sorting protein n terminal region associated major 13b chorein facilitator vps13 of vacuolar superfamily or 13
42081	protein mtnx pgpase octulosonate had ob iiib d fold hydrolase phosphoglycolate nif haloacid nli 8 methylthiopentenyl phosphatase superfamily interacting hydroxy hisb phosphoserine subfamily histidine phosphat manno phosphate 3 dehalogenase 2 serb like keto domain acid 5 bifunctional factor containing biosynthesis deoxy family 1 b
10703	protein variant soluble psa surface specific 34s promastigote antigen
9525	-
10701	protein oxidoreductase n isopenicillin feii 21 ethylene aminocyclopropane e metalloprotease forming dependent 14 oxy succinate ftsh oxidase superfamily oxygenase fe c iron enzyme 17 3 synthase deacetoxycephalosporin 2 atp ii carboxylate 4 ascorbate oxoglutarate zinc family 2og 1
10705	protein mrna long splicing isoform transferase prorp type import specific at1g74850 repeat pentacotripeptide of kda 116 subunit ppr tom20 pre geranylgeranyl pentatricopeptide 8 superfamily putative mitochondrial processing region promoting tpr plant alpha tetratricopeptide 2 chloroplastic like pkng kinase factor containing anaphase g complex receptor 1
9251	protein nop5p es4 repeat nop d methyltransferase binding u6 kke snorna rps6 56 nhp2 prp31 ribonucleoprotein rps18 nucleolar us13 rps5 o es6 2 like rrna rps7 domain fibrillarin nuclear u4 small rps4 es7 1 us7
49568	serine protein threonine ck1 kin pox catalytic lobe non e dependent ser casein 1 mitogen interacting lipopolysaccharide putative kdo kind poxvirus c waap ephb2 3 camk inducible 2 thr activated phosphoinositide tyrosine kinase domain bmp pdk1 receptor family 11 7
46794	protein cytosol domain aminopeptidase m17 terminal family c probable 4 1 leucyl 11 leucine 3 peptidase e catalytic
21614	-
49563	protein cpp1 homolog n type hsc20 1700030a21rik member of molecular antigen djc7 the hscb family finger pam16 subfamily co terminal c chaperone 3 t j 2 like domain containing zinc por1 large dnaj csl
47259	ec pseudouridylate specific d subunit 70 23s ribosomal c pseudouridine pseudou synthase 2 lyase rna 4 synth complex rluc large 1
45119	serine isoform protein 7 threonine variant specific erbb e epidermal necrosis rich surface tumor superfamily growth membrane putative giardia c 2 tyrosine kinase factor 4 cysteine vsp receptor 1 112
26020	putative protein gene 5 dgf region trypanosoma of dispersed family cruzi 1
26128	-
45448	2b protein tm0911 delta 6 isomerase e subunit 00944 23 a psaea putative translation deorc methylthioribose related probable terminal c if phosphate 3 eif deor 2 initiation domain b1 5 factor sensor family 1
45446	-
45111	protein pts1 crystal pex5 n adenosine geranylgeranyltransferase type 18 peptidyl prolyl bacterial repeat of kda iii isomerase methyltransferase targeting subunit peroxin secretion the tpr1 e 70 pasticcino1 77 system coatomer peroxisomal stimulation n6 structure terminal promoting tpr alpha tetratricopeptide chaperone epsilon cis signal trans domain ii rab cut9 factor containing anaphase complex cstf3 cleavage 1 yscg
44645	protein division cell n adenosine associated holliday cellular 6 of activities polymerase with aps various e transitional subunit viral binding dependent reticulum phosphatase ruvb 26s d1 aaa hydrolytic helicase ter94 terminal cycle c region polynucleotide cdc48 dna 3 atp 2 atpase motor dynein rna control kinase adenylate 5 domain endoplasmic 4 terminus regulatory protease 48 phosphosulfate junction site family 7
45117	-
44798	serine protein mrna splicing dipeptidyl chain threonine n es4 quinohemoprotein repeat of ge1 kda 116 enhancer peptidase palb2 subunit wd40 b pre pore wd and rps6 8 decapping interacting partner processing anapc4 terminal rps18 cd26 region localizer export promoting us13 rps5 es6 dehydrogenase iv rps7 domain kinase nuclear factor brca2 4 containing amine rps4 anaphase actin complex 40 es7 1 us7
19393	protein repair 2721 gene 18 rad60 6 kda prok prokaryotic modifier e fold susceptibility ubc tumor fts interacting prov w tgtwinscan 19 ligase e2 ubiquitin c dna enzyme tsg101 17 3 2 conjugating sumo domain akt ufc1 family 101 1 b
44241	serine protein carboxylase methylmalonyl proteinase isomerase peptidase hydratase hydrolase enoyl subunit delta2 hydroxyisobutyryl dependent racemase propionyl sdh ech mitochondrial coa probable sah delta3 decarboxylase 3 atp 2 dehydrogenase dienoyl ttha0218 clp protease s49 complex proteolytic family carnithine b
44797	protein mrna ddb1 splicing chain dipeptidyl middle n bbs2 associated es4 repeat of cul4 ge1 kda 116 enhancer peptidase subunit h ciliary wd40 pre pore and rps6 8 methylamine decapping bbsome interacting d1 putative processing terminal rps18 c region dpp export us13 rps5 es6 dppiv heme 2 dehydrogenase iv rps7 like nuclear factor rps4 actin mid complex es7 1 us7
44796	protein mrna splicing chain oxide dipeptidyl middle n bbs2 6 nitrous of repeat ge1 with kda 116 enhancer peptidase subunit h ciliary wd40 pre pore wd 8 methylamine decapping dpp6 bbsome assembly processing terminal region dpp export dppiv subgroup reductase dehydrogenase 2 like iv dynein domain aminopeptidase nuclear factor containing mid complex 40 wdr
49309	-
22876	-
37799	protein n hydrogenase 6 e maturation 1 acylphosphatase terminal c cg18505 3 2 nife domain factor hypf acp 7
46861	protein pts1 pex5 n adenosine farnesyltransferase geranylgeranyltransferase 18 type potential associated bacterial repeat of kda iii polymerase methyltransferase targeting subunit peroxin secretion binding caax antigen 70 77 system ram2 peroxisomal stimulation putative n6 terminal c promoting tpr region alpha tetratricopeptide chaperone 3 signal domain rna ii rab monad rpap3 factor sperm anaphase complex cstf3 cleavage 1 yscg
42833	protein 18 kda e glycoprotein sialidase leech surface intramolecular superfamily dfer uncharacterized putative terminal c trypanosoma 3 1899 trans 2 salmonella domain group 85 ii 1
46867	-
42835	protein glyoxalase carbapenemase polyadenylation phosphodiesterases 6 camp blab e hydrolase subunit and pdease specificity superfamily hagh hydroxyacylglutathione c lactamase metallo 3 2 zn class domain ii 5 factor terminus cleavage beta 1 b
38502	-
38507	flavocytochrome oxide dioxygenase 18 flavodoxin cytochrome neuronal e subunit nadh nitric binding dependent ferredoxin a flavoprotein phthalate interacting 9 siderophore fad nitrate c c3 fumarate quinol nadp synthase b5 2 reductase domain respiratory 1
38506	protein ribosome associated ramp4 membrane
3513	project wgs 825 data annotated caeq00000000 contig
3516	protein falstatin chagasin mdm2 i42 6 of papain peptidase e i71 peptidases proteases falcipain uncharacterized putative ligase ubiquitin c 3 2 e3 22 4 cysteine family icp inhibitor
2686	protein m homolog member fdcp and expressed 8 zf differentially pleckstrin 9 putative homology ribbon ring 3 or like proteiny domain containing zinc family in
14625	protein splicing polyadenylation limkain recognition cytoplasmic nmi stranded polyadenylate with rbd 20kda binding cap ifp and rnp a element interacting 35 19 rrm putative probable rbms2 export multiple cbp20 or 2 motif rna domain nuclear single 5 b1 factor 4 rbm19 nid k
14627	-
14622	protein oxide oxidoreductase 18 cytochrome 6 p flavodoxin neuronal steroid nadph e nadh nitric binding 14 1 450 ferredoxin interacting 9 siderophore fad nitrate nad c synthase nadp heme b5 2 reductase like domain cyt 4 p450 bifunctional
160	-
38644	protein chain repair homolog gene 18 dgf endonuclease major phosphodiesterase of apyrimidinic iii polymerase e transcriptase subunit phos reverse endo dependent line phosphatase 11 putative distending c dna enzyme apurinic alpha cytolethal 3 2 exodeoxyribonuclease 99 domain exo 5 exonuclease rna 4 toxin tubulin complex dispersed family tyrosyl 1 b
38647	protein domain ankyrin containing 36a repeat
90	-
92	protein 24 clostridium n type 18 specific of kda tr concanavalin e gas6 glycoprotein binding lectin sialidase leech laminin surface a intramolecular superfamily growth bind putative 69 terminal c trypanosoma bontoxilysin 3 2 trans like neurotoxin arrest glucanases thrombospondin domain r 85 botulinum hydrophobic 4 toxin g receptor 1
30412	protein splicing puf60 polyadenylation limkain recognition cytoplasmic stranded rbd transcript binding 12 rnp tar a poly element u interacting 19 rrm probable rbms2 dna primary or 2 motif rrna tdp rna domain b1 single factor 4 rbm19 containing complex 43 k 1
30417	serine protein threonine hydroxyurea ck1 6 kin pox e dependent aph ser casein cyclin mitogen interacting lipopolysaccharide 11 kdo resistance poxvirus c waap hur ephb2 3 camk 2 thr aminoglycoside antibiotic activated like phosphoinositide domain kinase tyrosine pdk1 lim receptor family 1 7
36156	-
36157	serine protein threonine kinase ankyrin repeat
36154	protein 60s to rna probable us3 ubiquitin and s27a es4 similar us5 us2 complex es1 ribosomal l41
36155	putative glycoprotein protein trypanosome variant domain type terminal c vsg containing surface a
36153	-
37476	putative protein permease endoplasmic system transport 1 reticulum fbpb ferric membrane
13057	protein prostaglandin f2 xylose oxidoreductase member arabinose d e gluconic a diketo akr7a1 aflatoxin red putative c alpha synthase ket 188 dehydrogenase 2 reductase keto morphine acid 5 aldehyde 4 aldo c10 family 1
46969	protein chromatin kti12 adenosine associated pantothenate monophosphate thymidylate e phosphatase 9 hpr terminal c polynucleotide uridine cytidylate 3 prk 2 hprk like kin2 domain kinase phosphoribulokinase adenylate 5 4 diphosphate family 7
33507	-
18707	protein rrmh trmj methylase e methyltransferase loop binding methyltrn dependent sam trna tar 200 23s putative cytidine trmh terminal c rlmb rrma spou uridine o 3 2 guanosine2251 rrna rna domain group 4 family 1
22745	protein type di19 copies 648 subunit binding 297b zf finger 19 phna transcription ribbon c2h2 drought importin dna 295 2 induced zn sp8 factor zinc complex consensus beta 1
33857	protein to gr4 hydrolases isoform ybl057c peptidyl also pth2 of bit1 af2095 cgi e hydrolase trna similar one localized 29 probable c x1 see cerevisiae 3 2 147 mitochondrially pth1 two 1 saccharomyces
41674	-
49719	-
33509	putative protein sodium resistance stibogluconate
41566	protein sorting light vps66 harvesting vacuolar complex rhto0s24e01750g1 1
17827	-
17825	project wgs data annotated 244 caeq00000000 contig
41569	-
27579	box ercc3 mrna only splicing hel308 type xpb 6 polymerase deah e bat1 afuhel308 pif1 dependent pre ski2 putative helicase probable terminal c dna rad25 ddx48 3 atp uap56 like dexx rna domain factor spliceosome theta dead complex 1
27570	protein like hangover rich aaf07369 basic salivary proline zinc gb 2 1 finger
20251	protein nf cbf centromere h2b cbfd yb3 hmf of fold subunit and a h3 archaeal sevenless transcription kinetochore c dna component cenp nfyb son t s h4 histone like core domain nuclear factor complex embryonic y beta h2a
27576	protein fmv release predicted n5 d e methyltransferase adenosylmethionine subunit vibrio dependent l trna n2 sun rlmj ribosomal rsmb methionine glutamine fmu hemk c spermidine 16 trm14 rfbt cholerae guanine adomet synthase 2 s rna mtase 5 factor small adenosyl v large rsmj 1 b
27577	putative protein masp sialidase tcmucii associated surface mucin trans
40966	putative tcmucii mucin titin
40743	subunit protein duf1077 putative 2g10350 domain orthologue 4 er complex afu afua membrane
40740	-
36170	inosamine 18 ddah type peptidyl ng2cng ng dimethylaminohydrolase amidinotransf porphyromonas 6 glycine e arginine l deiminase putative pad c dimethylarginine amidinotransferase mercaptoethanol phosphate 3 5 porph aminohydrolase beta 1
49710	-
29818	protein hydroxylase variant of hybrid dmain localisation superfamily e2 kua fatty ubiquitin enzyme localization transmembrane tmem189 conjugating domain acid 189 fa 1 b
29816	-
46963	putative protein associated membrane
29813	putative glycoprotein like trypanosome variant type vsg transferrin surface glycop a receptor esag6 trypan
29763	-
29810	project wgs 1748 data annotated caeq00000000 contig
23059	protein long chain wgs 45 ccd calcoco1 of caeq00000000 kda binding troponin fpp filament and data heavy annotated motb contig 2263 c region secreted plant striated calcium muscle or 2 project like ccdc155 skeletal domain coil ompa coiled myosin kash
23058	protein mrna splicing responsive clostridium lrba n associated fan lvsa neurobeachin with kda 116 concanavalin binding lectin pre pore leech sialidase and beige laminin 8 a intramolecular superfamily lipopolysaccharide bind neutral putative assembly processing terminal export smase activation 3 sphingomyelinase 2 trans like neurotoxin dynein beach glucanases domain r nuclear botulinum factor anchor toxin containing g receptor wdr
1170	transmembrane 52 tmem52
23507	protein chain calcoco1 member 73 peptidase binding b troponin and heavy a nucleic tropomyosin golgin ccdc73 subfamily ribbon porcine c possibly calcium m23 muscle like zn a5 skeletal domain acid 5 ct398 coil coiled containing myosin family cardiac
23506	-
29384	serine protein mrna splicing chain dipeptidyl threonine middle n bbs2 repeat of ge1 with kda 116 enhancer peptidase subunit h ciliary wd40 pre pore wd 8 methylamine decapping bbsome interacting d1 putative assembly processing terminal c region dpp export dppiv heme 2 dehydrogenase iv dynein kinase nuclear factor containing actin mid complex 40 1 wdr
47211	putative protein masp sialidase tcmucii associated surface mucin trans
23502	mbdr protein mitochondrial rpsu transcriptional divergently proteins transcribed ubiquinone regulatory bacterial biosynthesis tetr family regulator coq9
23500	-
29435	protein chain synthetase ccd calcoco1 of smc binding troponin and trna heavy uncharacterized chromosome partition metrs c region striated calcium muscle or 2 like ccdc155 skeletal domain npl4 methionyl coil coiled myosin kash duf2353
27619	esa1 project chromatin wgs acetyltransferase c data 1 annotated 48 1525 caeq00000000 3 contig 2 e histone
27617	-
27611	box protein to aart ydr266c n repressor type c3hc4 di19 pml hel2 subunit binding stip1 anapc11 and similar zf leukaemia u not 11 finger h2 19 ligase homology c2h2 terminal drought ubiquitin dna promoting oncoprotein ring stub1 cerevisiae acute induced e3 transcriptional domain 5 promyelocytic 4 containing proto anaphase zinc complex ctcf consensus 1 saccharomyces
39595	protein dolichyl cell transferase polarisation mimicking oligosaccharyl 119 neuroblast e subunit binding dpy19 stt3 uncharacterized argonaute putative diphosphooligosaccharide ph0242 c transmembrane 2 stt3b peptide q glycosyltransferase 4 substrate 1
39591	-
39590	box ercc3 dda xpb 6 deah e bat1 subunit 12 dependent supv3l1 interacting mitochondrial degradasome helicase probable terminal c dna frq rad25 ddx48 3 atp suv3 uap56 dexx rna 4 spliceosome dead
39599	protein mrna to homolog amyloid member wbp4 binding prp40 pre wwiii a head a4 ww ligase related processing ubiquitin nedd4 apbb1 e3 motor precursor like domain factor 4 containing myosin mothers 40 family beta 1 b
39598	-
29109	band ph protein subunit spfh domain terminal prohibitin c flotillin region protease of stomatin family 2 membrane 7
31235	-
29101	protein fmv cobalt n type specific 15 d e methyltransferase subunit dependent l sam ftsj 79 sun efm4 h3 33 rlmj ribosomal rsmb 11 methyltransf 6y fmu probable c histidine spermidine 16 lysine o synthase 2 dehydrogenase histone like rna alcohol 5 small precorrin large isoaspartyl rsmj 1 b
29100	-
516	protein like domain containing ysc84 sh3 1
7187	protein ribonuclease n lrr von high 6 of repeat with inducedprotein subtype subunit glycoprotein binding rich and p53 leucine a growth nerve death willebrand terminal c alpha ib domain rab factor containing receptor geranylgeranyltransferase affinity inhibitor
1227	protein cell associated stress cyyr1 e epidermal rich and mucin15 growth membrane putative mid2 c wall perk9 2 like 10 tyrosine kinase acid factor cysteine proline protease sensor receptor 1 7
1226	project wgs 1776 data annotated caeq00000000 contig
16881	protein import subunit dependent and porin anion mdm10 selective mitochondrial voltage 3 distribution morphology 10 channel receptor eukaryotic tom40 1
620	protein n type csn2 21 associated 6 member of st coupling ta e subunit binding the transporter permease cas sulfate molybdate 14 abc system multidrug energy glcv putative glucose aaa subfamily terminal c component histidine alpha 3 synthase crispr atp atpase iv class domain factor transport toxin cassette abieii g sub family predicted
34559	box protein mrna ercc3 splicing associated xpb 25 deah bat1 afuhel308 dependent pre processome interacting helicase probable terminal nucleolar dna c frq utp25 rad25 ddx48 ssu atp uap56 initiation rna factor small spliceosome dead rhle complex 4a u3
8019	24 presequence cytochrome insulin iii degrading peptidase nardilysin e subunit insulinase mitochondrial processing c m16 enzyme 3 mpp inactive bc1 peptide core 4 protease zinc complex family metalloprotease 1
8018	protein n set7 specific of lsmt e methyltransferase k4 rubisco h3 rms1 finger 9 suv420h1 c pr set lysine clr4 2 histone domain containing atxr5 zinc 43 1 catalytic
34554	-
8016	thiolation protein nh n adenosine synthetase monophosphate cytoplasmic 6 pp e subunit loop lysidine dependent sulfate trna tils gmp cysd superfamily nh3 putative nad terminal c synthase 3 triphosphate 2 atpase adenylyltransferase domain ile 5 1
12839	putative protein like axonemal microtubule stabilizer associated of subpellicular stop spm1 microtubules 2 1
34557	protein cpp1 homolog n type hsc20 1700030a21rik member of shock molecular antigen djc7 the hscb 1 heat finger pam16 subfamily terminal c chaperone 3 t j 2 yeast like domain containing zinc por1 large dnaj csl
8541	-
15280	protein mrna splicing chain dipeptidyl middle n bbs2 repeat of ge1 with kda 116 enhancer peptidase subunit h ciliary wd40 pre pore 8 methylamine decapping bbsome interacting d1 putative assembly processing terminal c region dpp export dppiv heme 2 dehydrogenase iv like dynein nuclear factor containing actin mid complex subgroup 1 wdr
15283	m18 diaminopimelate desuccinylase peptidase acetylornithine g2 family putative deacetylase alanine clan metallo mh synthase succinyl like domain carboxypeptidase glutamamyl beta catalytic
28389	protein to anchored sec20 member the golgi snap similar fusion membrane putative snare membrin region c use1 2 vesicle terminus v receptor complex in
26627	protein rim mrna ecr1 ccd associated calcoco1 insulin of 271aa kh far binding upstream the and 1 exosome poly element growth fragment region vigilin zone calcium cerevisiae or signal cast 2 cytomatrix s rc like ccdc155 144 rna domain active coil msl5 factor containing coiled complex kash fbp transduction
7455	-
7453	myosin
7451	protein splicing u2af polyadenylation limkain recognition cytoplasmic stranded with kda rbd subunit binding u1 65 and rnp a element interacting 19 rrm putative probable rbms2 ribonucleoprotein export multiple 3 or 2 motif like rna domain b1 single 5 nuclear factor rbm19 small k 1
36803	putative protein gene 5 dgf region trypanosoma transmembrane of dispersed family cruzi 1
4590	glucose adenylyltransferase transferase thymidylyltransferase phosphate nucleotidyl 1
28384	project wgs 1012 data annotated caeq00000000 contig
50413	-
35930	putative protein masp sialidase hydrophobic terminal c associated trypanosoma surface protease mucin of gp63 tr trans
23127	protein n of 3d transposon polymerase transcriptase reverse dependent from pol 1 element matk putative fragment encoded terminal trnk region dna ltra bs mobile hiv like fab rna group ii jockey amino rvt directed intron
35937	protein hdac8 phi type acetylpolyamine polymerase e pol homologue 8 hist putative deacetylase hdac6 98 c dna component rpd3 i 3 hdac deacetyl histone class domain 5 complex clr3 aminohydrolase 1 catalytic
50414	putative protein transmembrane
31913	protein n gphr ph aba the binding golgi oxysterol abscisic terminal coupled regulator gpcr acid g receptor junction family gap
47678	-
6797	protein transf 7 nucleotidylexotransferase repair transferase n rad51 palm 31 x nucleotidyltransferase polymerase e helix b hhh pol 8 polx putative mitochondrial human terminal c dna pak kd 3 2 ntp domain 5 exonuclease hairpin lambda deoxynucleotidyl complex beta catalytic
28380	protein homolog prolyl peptidyl yorkie 6 stranded member isomerase e binding derived tar nima a interacting commissureless pleckstrin 19 ligase homology smad7 probable ubiquitin c nedd4 rbms2 dna cis 3 2 trans e3 motif like peptide tdp rna domain single 5 rbm19 containing family 43 1
